0¦SELF¦1581427559856¦1581427560473¦1581427559776¦1581427559856¦1581427560473¦1581427560473¦hello¦Vlad30,Iines;¦ ⁰h ¹³⁸e ¹³¹l ¹⁷⁰l ¹⁷⁸o¦hello¦
0¦OTHER¦1581427817956¦1581427817956¦1581427817294¦1581427817956¦1581427817956¦1581427817956¦h¦Vlad30,Iines;¦ ⁰h¦h¦
0¦SELF¦1581427818057¦1581427818057¦1581427817361¦1581427818057¦1581427818057¦1581427818057¦a¦Vlad30,Iines;¦ ⁰a¦a¦
0¦OTHER¦1581427818072¦1581427818194¦1581427817494¦1581427818072¦1581427818194¦1581427818194¦en¦Vlad30,Iines;¦ ⁰e ¹²²n¦en¦
0¦SELF¦1581427818210¦1581427818210¦1581427817506¦1581427818210¦1581427818210¦1581427818210¦g¦Vlad30,Iines;¦ ⁰g¦g¦
0¦OTHER¦1581427818325¦1581427818325¦1581427817629¦1581427818325¦1581427818325¦1581427818325¦ ¦Vlad30,Iines;¦ ⁰ ¦ ¦
0¦SELF¦1581427818388¦1581427818388¦1581427817686¦1581427818388¦1581427818388¦1581427818388¦r¦Vlad30,Iines;¦ ⁰r¦r¦
0¦OTHER¦1581427818473¦1581427818473¦1581427817776¦1581427818473¦1581427818473¦1581427818473¦a¦Vlad30,Iines;¦ ⁰a¦a¦
0¦SELF¦1581427818488¦1581427818488¦1581427817789¦1581427818488¦1581427818488¦1581427818488¦e¦Vlad30,Iines;¦ ⁰e¦e¦
0¦OTHER¦1581427818557¦1581427818557¦1581427817902¦1581427818557¦1581427818557¦1581427818557¦l¦Vlad30,Iines;¦ ⁰l¦l¦
0¦SELF¦1581427818657¦1581427818657¦1581427817956¦1581427818657¦1581427818657¦1581427818657¦e¦Vlad30,Iines;¦ ⁰e¦e¦
0¦OTHER¦1581427818673¦1581427851410¦1581427850713¦1581427818673¦1581427851410¦1581427851410¦so Tom Derkins with experience on flying he balloon seems too important but maybe they dont rea*need him in order to land safely?¦Vlad30,Iines;¦ ⁰s ⁸⁵o ⁸⁵⁵  ⁹⁶⁵T ²²²o ⁷⁸m ⁵⁴  ²⁸⁵D ³⁰⁰e ¹⁶r ¹¹⁶k ¹³²i ¹⁵⁴n ⁴²⁰s ⁶⁷⁰  ¹⁸⁵w ²⁰⁰i ¹⁰⁰t ¹³²h ¹⁰⁰  ¹¹¹⁹e ²⁵⁴x ¹¹⁵p ¹⁰¹e ¹⁵r ⁸⁵⁰i ¹⁵⁴e ¹³¹n ⁸⁵c ³¹e ¹⁶⁹  ⁶⁹o ⁶³n ¹⁰⁰  ²⁰¹f ⁸⁵l ²¹⁶y ²²³i ⁶³³n ¹⁶g ¹⁵³  ¹⁶³h ¹³⁸e ¹¹⁶  ¹⁴⁶b ¹⁶a ¹¹⁶l ¹⁶⁹l ¹¹⁶o ⁶⁷¹o ¹⁰⁰n ¹⁵⁴  ¹¹⁶s ¹³²e ¹⁵³e ⁷⁸m ¹³⁹s ⁸⁴  ²⁰⁰⁴t ¹⁰⁰o ¹¹⁷o ¹⁰⁰  ⁸⁴i ¹³²m ¹¹⁶p ¹⁶⁹o ⁸⁴r ¹³¹t ¹⁶a ¹³¹n ⁸⁴t ³⁸⁵  ⁴²⁴⁰b ⁶⁹u ¹³¹t ¹⁰⁰  ⁶⁰²m ⁶⁹a ¹⁷³y ²⁰⁰b ¹⁴⁷e ²⁷⁰  ²⁶³t ¹⁵h ¹⁵⁴e ¹¹⁵y ¹¹⁷  ⁸⁴d ¹⁶o ¹³⁸n ¹⁸⁵t ²¹⁶  ²⁸⁵r ⁶³e ⁶⁹a ¹⁴³³* ²⁸⁵n ⁶⁹e ¹³²e ¹⁵³d ¹⁰⁰  ¹⁸⁶⁷h ⁸⁵i ⁶¹⁷m ⁸¹⁸  ²⁰¹i ¹⁸⁵n ⁶⁹  ¹⁰⁰o ⁸⁴r ¹⁶³d ¹⁵⁴e ⁶⁹r ¹⁵  ¹⁶³t ¹⁰⁰o ⁸⁵  ⁸⁴l ⁸⁵a ¹¹⁵n ¹⁰⁰d ⁶⁹  ²³²s ⁶⁹a ¹³¹f ¹⁰¹e ¹⁰⁰l ¹⁶⁹y ⁷⁰²?¦so Tom Derkins with ▅experience on flying he balloon seems ▅▅too important ▅▅▅but maybe they dont rea▅*need ▅him in order to land safely?¦
0¦SELF¦1581427854039¦1581427862114¦1581427861411¦1581427854039¦1581427862114¦1581427862114¦Yes, How hard can it be, really?¦Vlad30,Iines;¦ ⁰Y ¹³¹⁸e ⁵⁸⁷s ²¹⁶, ¹⁸⁵  ³⁸⁵H ²¹⁶o ²⁷⁴w ⁵⁰²  ²⁶⁴h ¹⁰⁰a ¹³²r ²²²d ¹⁶³  ³⁵⁴c ²⁰¹a ⁸⁴n ¹⁴⁷  ¹⁵⁴i ¹⁴⁶t ¹⁰⁰  ¹⁸⁵b ⁸⁵e ⁶¹⁷, ¹⁵⁴  ⁶²r ¹⁵⁴e ²²⁰a ¹⁰⁰l ¹³¹l ²⁸⁵y ³³²?¦Y▅es, How hard can it be, really?¦
0¦OTHER¦1581427868347¦1581427881156¦1581427880458¦1581427868347¦1581427881156¦1581427881156¦oh yeah it saisays that they're about to crash into a ou*mountain¦Vlad30,Iines;¦ ⁰o ¹²²h ⁰  ¹⁶³y ¹⁶e ¹⁵³a ¹⁰⁰h ⁶⁹  ¹⁴⁷i ⁶⁹t ¹⁴⁸  ¹¹⁶s ⁸⁵a ¹³⁸i ¹⁵⁶⁶s ⁸⁵a ¹³¹y ¹³⁸s ¹⁰⁰  ¹¹⁶t ⁸⁵h ⁶²a ²²t ¹⁴⁷  ¹⁰⁷⁷t ¹¹⁶h ¹⁶⁹e ³¹⁶y ⁶⁷³' ¹²⁰r ⁶³e ¹²⁰  ¹⁵³a ¹¹⁶b ⁸⁵o ³¹u ¹¹⁵t ⁷⁰  ¹⁰⁰t ¹⁶o ¹⁵³  ²⁵²c ¹⁸⁹r ⁶⁸a ²⁰⁰s ⁶²h ¹²³  ⁷⁸i ¹⁷⁰n ⁶⁹t ¹¹⁶o ¹¹⁵  ¹⁰⁰a ¹³¹  ¹³⁰⁷o ¹⁰⁰u ¹⁴⁸⁹* ²³⁷m ¹¹⁶o ⁸⁵u ¹⁶²n ⁶⁹t ¹⁵a ¹⁵³i ¹³²n¦oh yeah it sai▅says that ▅they're about to crash into a ▅ou▅*mountain¦
0¦SELF¦1581427883467¦1581427913199¦1581427912496¦1581427883467¦1581427913199¦1581427913199¦Oh, then that argument is dead.I was thinking about the cancer reearcher. ow likely is it that all of his research dies with him? Ar e¦Vlad30,Iines;¦ ⁰O ²³¹h ²¹⁶, ¹⁸⁶  ¹¹⁵t ¹⁰¹h ¹¹⁵e ³²³n ³⁴⁷  ²³⁸t ¹⁶³h ¹¹⁶a ¹²⁴t ²¹⁶  ²⁶⁴a ²⁶⁹r ⁵¹⁶g ¹⁶⁹u ¹⁶⁸m ⁷⁹e ¹⁵³n ⁷²t ¹³²  ¹⁸⁴i ¹⁰¹s ¹³¹  ³⁰⁰d ¹⁹³e ²⁰⁰a ¹⁷³d ¹³². ¹⁸⁹⁰I ²²⁶  ¹³²w ¹⁶¹a ¹⁴²s ¹⁴⁶  ²³²t ¹¹⁶h ²⁰⁰i ¹⁶⁹n ²³²k ¹⁸⁴i ¹⁵³n ¹⁶³g ¹³⁷  ²¹⁶a ²¹⁵b ²³¹o ¹⁶⁹u ¹³¹t ¹¹⁶  ¹⁵⁴t ⁶⁹h ¹⁴⁷e ²⁰⁰  ²⁰³¹c ²³¹a ¹⁰⁷n ⁴²⁰c ²⁰¹e ¹⁷⁸r ¹²²  ¹⁶³r ¹³⁸e ⁷⁹²e ¹⁷⁹a ¹⁴¹r ¹¹⁵c ¹⁶⁹h ¹¹⁵e ¹⁸⁴r ²⁶³. ¹⁰⁹⁰  ¹⁰⁹⁰o ¹⁶⁹w ¹³¹  ¹⁸⁴l ¹⁴⁷i ¹⁶⁹k ¹⁴⁷e ¹²²l ²³²y ¹⁸⁴  ¹⁸⁵i ¹⁰⁰s ¹⁶³  ²⁰⁰i ¹³⁸t ¹³¹  ²⁰¹t ¹³¹h ¹³²a ⁸⁵t ¹⁷⁰  ¹¹⁵a ¹³⁹l ¹¹⁵l ¹⁸⁵  ²⁰⁰o ¹⁴⁷f ¹⁰⁰  ¹⁸⁵h ²¹⁶i ¹⁰⁰s ¹¹⁶  ¹³⁹r ¹⁴⁷e ¹⁷³s ¹⁶³e ¹⁵⁴a ⁸⁴r ¹³²c ²⁰⁰h ²³²  ¹³⁸d ¹⁶³i ¹⁷⁰e ¹⁷³s ²⁴⁷  ²³⁸w ²⁰⁰i ²⁰¹t ¹¹⁶h ²⁰¹  ²⁰⁰h ²⁰⁰i ¹⁷⁸m ³⁸⁶? ³⁹²  ⁴³⁶A ¹⁸⁵r ²⁵⁸  ¹⁰⁰e¦Oh, then that argument is dead.▅I was thinking about the ▅▅cancer reearcher.▅ ▅ow likely is it that all of his research dies with him? Ar e¦
0¦OTHER¦1581427913550¦1581427918263¦1581427917564¦1581427913550¦1581427918263¦1581427918263¦exactly my thought!¦Vlad30,Iines;¦ ⁰e ⁶⁷²x ¹³¹a ⁷⁵⁶c ²¹⁶t ³⁰¹l ¹⁰⁰y ⁸⁵  ¹¹⁶m ³²¹y ¹³⁷  ¹⁴⁷t ¹⁶h ¹⁵³o ¹⁰⁰u ¹⁶⁷g ¹⁶h ⁵⁷⁴t ⁷⁰⁵!¦exactly my thought!¦
0¦SELF¦1581427920210¦1581427954786¦1581427954083¦1581427920210¦1581427954786¦1581427954786¦So, he is praobblu a nice guy, keen on saving people, and he probably want s to save the t these peole as well...¦Vlad30,Iines;¦ ⁰S ³⁴⁶³o ⁷⁵⁵, ²¹⁶  ¹⁰⁶⁵h ¹⁵⁴e ²⁴⁷  ²⁰¹i ¹⁵³s ²⁵²  ²⁸⁵p ¹⁸⁸r ²¹⁶a ⁴¹⁷o ²²³b ²⁷⁸b ¹⁰⁸²l ²⁹⁷u ⁶⁰⁹  ¹⁰⁵⁹a ¹⁶³  ¹⁵⁴n ¹⁷⁸i ¹²²c ²³²e ¹⁸⁴  ³⁴⁸g ⁸¹⁷u ¹³⁸y ⁴⁶⁴, ¹⁵³  ¹⁶⁹k ¹⁰⁰e ¹³²e ¹³¹n ¹⁷⁰  ²⁰¹o ¹⁸⁴n ¹⁶⁹  ¹¹⁶s ¹⁸⁴a ¹⁴⁸v ³³¹i ¹⁸⁵n ¹³⁷g ¹¹⁶  ²¹⁵p ¹¹⁸e ¹³¹o ¹⁵⁷p ¹⁶⁹l ¹⁰⁰e ²²⁰, ¹⁶³  ⁸⁴a ¹³⁸n ⁹⁴d ¹²²  ⁶⁶⁴h ¹³⁷e ¹⁰⁰  ²⁰³p ¹¹⁶r ¹¹⁶o ²⁷⁴b ⁴⁵⁸a ¹⁰⁰b ²²⁰l ²⁶⁹y ²⁸⁸  ¹¹⁶w ¹⁸⁵a ¹⁰⁰n ¹⁶⁹t ¹³²  ¹³²s ¹⁰⁴¹  ¹⁷⁸t ¹⁵³o ²⁰⁰  ²³²s ²¹⁶a ¹³⁸v ⁹⁸¹e ⁴⁴³  ¹⁷³t ¹³¹h ¹³¹e ¹⁵⁴  ³⁰¹t ⁴⁰¹⁸  ⁴¹⁷t ¹³¹h ¹⁵⁴e ²⁴⁷s ¹⁴⁸e ¹⁸⁵  ²³⁹p ¹¹⁵e ¹³²o ⁴⁰⁵l ¹⁵⁷e ²⁰¹  ¹³²a ¹⁴⁷s ¹²²  ¹³¹w ¹⁸⁴e ¹⁶⁹l ¹³¹l ²⁰⁰. ¹³². ¹³¹.¦S▅▅o, ▅he is praobb▅lu ▅a nice guy, keen on saving people, and he probably want s▅ to save the t▅▅▅ these peole as well...¦
0¦OTHER¦1581427957795¦1581428005243¦1581428004542¦1581427957795¦1581428005243¦1581428005243¦ture*true! one question you could discuss is if it is more worth saving these three persons compared to curing maybe millions of peoplethen again I 'm not sure if we need to have that discussion :D¦Vlad30,Iines;¦ ⁰t ¹⁰⁰u ⁶⁹r ²¹⁶e ⁹⁸⁹* ²⁷⁰t ¹⁴⁷r ¹¹⁶u ¹²²e ⁵⁶⁴! ³⁰¹  ⁷⁰⁴⁶o ⁶⁹n ¹⁸⁵e ¹³¹  ⁶⁷¹q ¹⁶³u ⁸⁴e ¹⁵⁴s ⁶²t ²²i ¹¹⁷o ¹⁰⁰n ¹⁶  ⁸⁷¹y ⁶³o ⁰u ¹⁵³  ³⁰⁰c ¹⁶o ¹¹⁶u ¹¹⁶l ¹¹⁶d ¹⁵  ²³⁵⁵d ⁸⁴i ¹¹⁷s ¹⁴⁷c ⁸⁴u ¹⁰¹s ¹³⁸s ⁷⁸  ²²²i ¹⁷⁹s ¹²⁵  ⁶⁵⁶i ¹¹⁵f ⁴⁴⁵  ³⁰⁰i ¹¹⁶t ¹⁶³  ³³⁹i ¹⁰⁰s ¹¹⁵  ⁶⁷¹m ⁰o ¹²³³r ⁶⁹e ⁷⁹  ¹⁶⁹w ⁶⁷⁰o ¹⁶²r ¹³⁹t ⁸⁴h ³¹  ¹³¹s ⁶⁹a ²⁰¹v ⁶⁹i ¹⁶²n ⁸⁵g ⁶⁸  ³¹⁶t ⁸⁴h ¹¹⁶e ¹⁷⁰s ⁹⁹e ¹⁰⁰  ¹²²³t ¹⁶h ⁰r ¹⁶e ⁰e ⁰  ¹⁶⁹p ¹¹⁶e ⁹²³r ¹⁰⁰s ¹⁵³o ⁷⁸n ¹²²s ²⁰¹  ¹⁶²c ⁶⁹o ⁴⁷m ⁵²⁹p ¹²¹a ¹⁰⁰r ⁸⁴e ²⁰⁰d ⁰  ¹⁴⁷t ¹⁰⁰o ⁵³  ⁴²⁴c ⁸⁴u ¹¹⁶r ¹⁵i ¹⁸⁶n ⁸⁴g ⁷⁸  ¹²⁷⁴m ⁸⁵a ¹⁶⁹y ¹¹⁶b ¹⁸⁵e ¹⁴⁷  ⁵⁵⁴m ¹⁴⁷i ⁸⁴l ¹⁶⁹l ⁷⁸i ¹²³o ⁷⁸n ⁸⁵s ¹⁵  ¹³⁸o ⁸⁴f ¹¹⁶  ¹⁰⁰p ⁴⁷e ¹⁵³o ¹³¹p ²⁰²l ¹¹⁶e ²⁸¹⁶t ⁸⁵h ⁸⁴e ¹¹⁶n ¹¹⁵  ²⁸⁵a ¹⁰⁰g ¹¹⁵a ⁸⁵i ¹⁷³n ⁷⁸  ⁷⁹¹I ²⁵⁴  ⁸¹⁸' ¹⁸⁵m ¹¹⁶  ⁸⁴n ¹⁶o ¹³¹t ¹¹⁶  ¹³⁸s ¹⁶u ⁴⁸⁶r ¹⁵e ¹⁴⁸  ⁵⁷⁵i ¹⁵f ¹⁵⁴  ¹⁰⁴w ²⁰⁰e ¹¹⁶  ¹⁸⁶n ¹⁵e ¹⁷⁰e ¹⁵¹d ⁸⁴  ⁸⁴t ¹³²o ⁸⁴  ⁷¹⁸h ⁶⁹a ¹⁰¹v ¹¹⁵e ¹⁰⁰  ⁶⁹t ⁷⁸h ⁵⁴a ¹¹⁵t ⁸⁵  ¹⁴⁷d ¹⁸i ¹⁵⁵s ⁴⁸⁶c ¹¹⁶u ¹¹⁶s ¹⁴²s ⁰i ¹³¹o ¹⁰¹n ¹⁶⁹  ²⁴⁷: ¹³²D¦ture*true! ▅▅▅one question you could ▅▅discuss is if it is mo▅re worth saving these ▅three persons compared to curing ▅maybe millions of people▅▅then again I 'm not sure if we need to have that discussion :D¦
