0¦OTHER¦1581427559385¦1581427559898¦1581427559838¦1581427559385¦1581427559898¦1581427559898¦hello¦Vlad31,Malin;¦ ⁰h ²²e ¹⁵⁸l ²²⁵l ¹⁰⁸o¦hello¦
0¦SELF¦1581427817251¦1581427817251¦1581427817225¦1581427817251¦1581427817251¦1581427817251¦h¦Vlad31,Malin;¦ ⁰h¦h¦
0¦OTHER¦1581427817330¦1581427817330¦1581427817346¦1581427817330¦1581427817330¦1581427817330¦ ¦Vlad31,Malin;¦ ⁰ ¦ ¦
0¦SELF¦1581427817359¦1581427817359¦1581427817346¦1581427817359¦1581427817359¦1581427817359¦e¦Vlad31,Malin;¦ ⁰e¦e¦
0¦OTHER¦1581427817440¦1581427817440¦1581427817415¦1581427817440¦1581427817440¦1581427817440¦a¦Vlad31,Malin;¦ ⁰a¦a¦
0¦SELF¦1581427817450¦1581427817450¦1581427817424¦1581427817450¦1581427817450¦1581427817450¦n¦Vlad31,Malin;¦ ⁰n¦n¦
0¦OTHER¦1581427817588¦1581427817588¦1581427817563¦1581427817588¦1581427817588¦1581427817588¦g¦Vlad31,Malin;¦ ⁰g¦g¦
0¦SELF¦1581427817599¦1581427817745¦1581427817720¦1581427817599¦1581427817745¦1581427817745¦ a¦Vlad31,Malin;¦ ⁰  ¹⁴⁶a¦ a¦
0¦OTHER¦1581427817756¦1581427817756¦1581427817731¦1581427817756¦1581427817756¦1581427817756¦r¦Vlad31,Malin;¦ ⁰r¦r¦
0¦SELF¦1581427817825¦1581427817825¦1581427817800¦1581427817825¦1581427817825¦1581427817825¦l¦Vlad31,Malin;¦ ⁰l¦l¦
0¦OTHER¦1581427817834¦1581427817834¦1581427817842¦1581427817834¦1581427817834¦1581427817834¦e¦Vlad31,Malin;¦ ⁰e¦e¦
0¦SELF¦1581427817978¦1581427818028¦1581427818003¦1581427817978¦1581427818028¦1581427818028¦so¦Vlad31,Malin;¦ ⁰s ⁵⁰o¦so¦
0¦OTHER¦1581427818039¦1581427818039¦1581427818014¦1581427818039¦1581427818039¦1581427818039¦e¦Vlad31,Malin;¦ ⁰e¦e¦
0¦SELF¦1581427818884¦1581427850662¦1581427850639¦1581427818884¦1581427850662¦1581427850662¦ Tom Derkins with experience on flying he balloon seems too important but maybe they dont rea*need him in order to land safely?¦Vlad31,Malin;¦ ⁰  ⁹⁶⁶T ²¹²o ⁸²m ⁹³  ²⁴¹D ³⁰⁶e ⁵⁰r ⁸⁵k ¹²⁶i ¹³⁵n ⁴⁴⁷s ⁶⁶¹  ¹⁷⁴w ²⁰⁹i ¹⁰³t ¹³³h ¹⁰⁰  ¹¹²⁶e ²³⁸x ¹¹²p ¹¹⁹e ⁵³r ⁷⁹⁹i ¹⁶³e ¹²⁵n ⁸⁹c ⁷³e ¹²³  ⁷²o ⁷¹n ¹⁰⁰  ¹⁹²f ⁸¹l ²²⁵y ²¹²i ⁶⁴⁸n ⁵⁴g ¹⁰²  ¹⁶²h ¹⁴⁸e ¹⁰¹  ¹⁵⁷b ⁴⁹a ⁸³l ¹³²l ¹⁵³o ⁶⁷⁰o ¹⁰³n ¹⁵³  ¹²¹s ¹³²e ¹⁴²e ⁹²m ¹²¹s ⁸⁴  ²⁰¹⁴t ⁹¹o ¹³²o ⁹³  ⁸⁴i ¹⁶⁴m ⁸¹p ¹⁶²o ⁹⁷r ¹³⁰t ⁵³a ⁸⁹n ⁹⁴t ³⁷⁴  ⁴²⁴⁰b ⁷⁶u ¹²⁴t ¹¹²  ⁵⁹⁸m ⁷⁰a ¹⁶⁴y ²⁰⁴b ¹⁵⁵e ²⁴⁹  ²⁸⁰t ³⁶h ¹³⁵e ¹¹⁰y ¹²³  ⁸⁴d ⁶³o ⁸⁹n ¹⁸¹t ²⁰⁶  ²⁹¹r ⁶⁴e ⁶⁹a ¹⁴²⁸* ²⁸⁹n ⁷¹e ¹³⁰e ¹⁵⁵d ⁹²  ¹⁸⁸⁴h ⁷⁹i ⁶⁰⁹m ⁷⁹¹  ²³⁵i ¹⁸¹n ⁶⁹  ¹⁰⁸o ⁸²r ¹⁶²d ¹³⁸e ⁸²r ⁶⁰  ¹²⁵t ¹⁰²o ⁷⁴  ⁹⁵l ⁸⁶a ¹⁰⁵n ⁹⁸d ⁷⁰  ²³⁶s ⁶⁰a ¹³⁵f ⁹⁷e ¹¹²l ¹⁶⁴y ⁶⁹⁰?¦ Tom Derkins with ▅experience on flying he balloon seems ▅▅too important ▅▅▅but maybe they dont rea▅*need ▅him in order to land safely?¦
0¦OTHER¦1581427853420¦1581427861520¦1581427861496¦1581427853420¦1581427861520¦1581427861520¦Yes, How hard can it be, really?¦Vlad31,Malin;¦ ⁰Y ¹³³⁵e ⁶¹⁶s ²¹⁶, ¹⁵³  ³⁸²H ²⁸¹o ³⁰⁷w ⁴¹³  ²⁹⁴h ⁶⁸a ¹⁰⁸r ³⁴³d ¹¹  ⁴⁹⁶c ¹⁵¹a ¹²n ²³⁷  ⁹³i ¹⁴²t ⁹⁴  ²⁰⁴b ⁷³e ⁶³⁹, ¹²⁶  ⁶⁰r ¹⁵⁵e ²⁷⁶a ¹²l ¹⁸⁸l ³⁰⁶y ³⁰⁹?¦Y▅es, How hard can it be, really?¦
0¦SELF¦1581427867614¦1581427880426¦1581427880403¦1581427867614¦1581427880426¦1581427880426¦oh yeah it saisays that they're about to crash into a ou*mountain¦Vlad31,Malin;¦ ⁰o ¹⁰⁰h ⁷²  ¹⁰⁴y ⁴⁵e ¹²⁶a ¹⁰¹h ⁷²  ¹³⁰i ⁹³t ¹⁴²  ¹¹²s ⁹¹a ¹⁴¹i ¹⁵⁶⁶s ⁷³a ¹⁴³y ¹²¹s ¹⁰⁴  ¹¹⁸t ⁹⁵h ⁵⁷a ⁶²t ¹¹⁴  ¹⁰⁶⁵t ⁸⁰h ¹⁷⁸e ³⁴⁰y ⁶⁸³' ¹¹⁴r ⁶⁸e ¹²²  ¹⁴⁵a ¹¹⁴b ⁹⁸o ⁷¹u ⁷²t ⁶⁴  ¹⁰⁴t ⁵⁵o ¹¹²  ²⁴⁵c ²⁰¹r ⁶¹a ¹⁹³s ⁷³h ¹¹⁰  ⁹⁵i ¹⁵⁸n ⁸²t ¹¹⁴o ¹¹⁰  ¹⁰²a ¹³²  ¹³⁰⁸o ¹⁰¹u ¹⁴⁸³* ²³⁷m ¹²²o ⁷⁸u ¹⁶³n ⁷²t ⁶³a ⁹⁵i ¹⁴⁷n¦oh yeah it sai▅says that ▅they're about to crash into a ▅ou▅*mountain¦
0¦OTHER¦1581427882917¦1581427912576¦1581427912553¦1581427882917¦1581427912576¦1581427912576¦Oh, then that argument is dead.I was thinking about the cancer reearcher. ow likely is it that all of his research dies with him? Ar e¦Vlad31,Malin;¦ ⁰O ²¹⁸h ¹⁹⁷, ¹⁵⁴  ¹⁰⁴t ¹¹³h ⁹⁷e ³⁴⁴n ⁴¹⁹  ¹⁹⁹t ¹²⁴h ¹²³a ¹²²t ²³⁹  ³¹²a ²¹¹r ⁵¹⁰g ¹⁹⁸u ¹²⁷m ⁷⁸e ¹⁵⁴n ⁶³t ¹⁴⁰  ²⁶²i ¹⁰s ¹⁴³  ³⁵⁸d ¹⁰⁸e ³⁰⁴a ⁹⁴d ¹³⁵. ¹⁹¹²I ²⁰⁶  ¹²⁰w ¹⁸⁶a ¹²⁶s ¹³⁶  ²⁶⁵t ⁹⁴h ²⁰¹i ²¹⁶n ³⁰¹k ⁶²i ¹⁵⁴n ²⁰¹g ⁹⁰  ³¹⁷a ¹¹⁹b ³¹²o ¹⁰²u ¹²¹t ¹²⁷  ¹³⁷t ⁸¹h ¹⁵¹e ²⁷⁸  ²⁰⁴³c ¹³⁸a ¹⁰⁷n ⁴⁹³c ¹³⁶e ²⁶⁹r ⁵  ¹⁷⁵r ¹⁵³e ⁸⁹⁶e ⁶⁴a ¹⁵⁰r ¹⁰⁹c ¹⁵¹h ¹²⁵e ²¹⁰r ³⁰³. ¹¹²⁹  ¹⁰³²o ¹²⁴w ¹³⁸  ²⁴⁵l ⁹⁴i ¹⁵⁴k ¹⁵³e ¹⁰⁸l ³⁰³y ¹²⁶  ¹⁸⁶i ⁹⁵s ²⁰⁶  ¹⁵²i ¹³⁷t ¹³⁷  ²⁹⁷t ⁸h ¹⁶²a ⁹¹t ²⁴⁷  ⁹a ¹⁵⁹l ¹²¹l ²³⁴  ¹³⁸o ¹⁴⁴f ¹²⁴  ¹⁹⁸h ¹⁸⁴i ¹⁰⁹s ¹⁰⁷  ¹⁵⁵r ¹³⁸e ²³⁶s ⁸⁷e ¹⁶⁸a ⁹⁴r ¹⁰⁸c ²¹⁴h ²⁵⁰  ¹²³d ¹⁸³i ¹⁵⁴e ¹⁶⁸s ²⁹⁶  ²⁰⁴w ¹⁸³i ²²⁴t ¹⁰³h ¹⁸⁰  ²³²h ²⁰⁰i ¹⁵⁵m ⁴⁶⁰? ⁴⁰⁸  ⁴¹¹A ¹²³r ²⁸⁶  ⁶³e¦Oh, then that argument is dead.▅I was thinking about the ▅▅cancer reearcher.▅ ▅ow likely is it that all of his research dies with him? Ar e¦
0¦SELF¦1581427912810¦1581427917525¦1581427917504¦1581427912810¦1581427917525¦1581427917525¦exactly my thought!¦Vlad31,Malin;¦ ⁰e ⁶⁷²x ¹³²a ⁷⁵¹c ²⁰⁴t ³²²l ⁹⁰y ⁸⁵  ¹²⁰m ³²⁸y ¹³⁰  ¹⁵²t ³⁰h ¹⁴⁰o ⁸⁵u ¹⁷³g ⁵¹h ⁵⁴⁷t ⁷⁰³!¦exactly my thought!¦
0¦OTHER¦1581427919673¦1581427954164¦1581427954142¦1581427919673¦1581427954164¦1581427954164¦So, he is praobblu a nice guy, keen on saving people, and he probably want s to save the t these peole as well...¦Vlad31,Malin;¦ ⁰S ³⁴⁹⁶o ⁷⁰⁴, ²⁰⁵  ¹⁰²⁷h ¹³⁹e ²⁶⁸  ¹⁸⁶i ¹⁵⁴s ²⁸⁰  ³¹¹p ¹¹⁷r ²⁸⁷a ⁴¹⁶o ²⁰⁷b ²⁷⁶b ¹¹⁵⁸l ¹⁹²u ⁶¹²  ¹¹⁴²a ⁶⁰  ¹⁷⁰n ¹⁶⁴i ¹²²c ²⁹⁸e ¹⁰⁷  ³⁵¹g ⁸⁶⁴u ¹⁰⁷y ⁵⁰⁸, ¹⁰⁵  ²⁰⁰k ⁷⁶e ¹²⁷e ¹²³n ¹⁸⁸  ²⁰⁵o ²¹⁶n ¹²³  ¹⁰⁵s ²⁷⁸a ⁶²v ³⁴⁹i ¹⁹⁹n ⁹⁰g ¹²⁶  ²⁹⁶p ⁹e ²⁰⁶o ¹¹⁷p ¹⁰⁰⁴l ¹³e ³, ²  ⁶a ²n ¹d ⁵¹  ⁶⁸¹h ¹²²e ¹¹⁰  ²³⁰p ⁷⁷r ¹¹²o ³²⁵b ⁴³⁷a ⁷⁶b ²³²l ²⁶⁵y ³¹⁸  ⁸³w ¹⁸⁵a ⁹⁷n ²⁵⁹t ⁹  ¹⁸⁹s ¹⁰²⁹  ²⁰⁰t ¹²⁶o ²⁹³  ¹²⁷s ²⁷³a ⁷⁶v ¹⁰⁵⁴e ⁵¹²  ⁸t ²⁰⁵h ⁷⁷e ²¹⁹  ³¹¹t ³⁹⁸⁹  ⁴²³t ⁹³h ¹⁵⁰e ²⁴⁹s ¹⁵⁴e ¹⁹⁸  ²³⁴p ¹¹³e ¹²⁰o ⁴¹⁴l ¹³⁴e ²²³  ¹¹⁸a ¹⁵⁵s ¹²²  ¹³⁵w ¹⁷²e ¹⁸⁸l ¹¹⁷l ²⁰⁵. ¹¹⁹. ¹³⁹.¦S▅▅o, ▅he is praobb▅lu ▅a nice guy, keen on saving peop▅le, and he probably want s▅ to sav▅e the t▅▅ these peole as well...¦
0¦SELF¦1581427957054¦1581428004506¦1581428004486¦1581427957054¦1581428004506¦1581428004506¦ture*true! one question you could discuss is if it is more worth saving these three persons compared to curing maybe millions of peoplethen again I 'm not sure if we need to have that discussion :D¦Vlad31,Malin;¦ ⁰t ⁹⁴u ⁷⁶r ²¹³e ⁹⁸⁹* ²⁶⁸t ¹⁵⁴r ¹⁰⁶u ¹²⁰e ⁵⁷¹! ²⁹⁶  ⁷⁰⁵⁰o ⁶⁸n ¹⁹¹e ¹²²  ⁶⁸⁴q ¹⁶⁰u ⁸²e ¹⁵¹s ⁶⁴t ⁷²i ⁵⁸o ¹⁰²n ⁶³  ⁸²⁰y ⁷⁶o ⁴⁵u ¹⁰³  ³⁰⁵c ⁵⁰o ⁷⁰u ¹²³l ⁶⁹d ⁸⁷  ²³³⁶d ⁸⁵i ¹¹¹s ¹⁴¹c ⁹⁴u ⁹⁸s ¹³⁴s ⁸⁵  ²⁰⁹i ¹⁸²s ¹²⁴  ⁶⁶⁹i ¹⁰²f ⁴⁴⁷  ³⁰⁶i ¹²¹t ¹⁶²  ³²⁵i ¹¹²s ¹¹⁹  ⁶⁵⁴m ⁵¹o ¹¹⁸⁸r ⁶⁹e ⁹⁰  ¹⁵⁸w ⁶⁶⁹o ¹⁶²r ¹⁴³t ⁸⁶h ⁷⁹  ⁸⁰s ⁷⁶a ¹⁹⁸v ⁶¹i ¹⁶²n ⁹²g ⁷²  ³¹²t ⁷⁴h ¹²²e ¹⁷²s ⁹³e ⁹⁷  ⁷⁵⁴t ¹¹¹h ⁹⁰r ⁸¹e ¹⁵⁵e ⁹⁴  ¹⁴⁸p ¹¹²e ⁹²⁶r ¹¹⁰s ¹³⁶o ⁹⁴n ¹⁰⁶s ²⁰²  ¹⁷⁴c ⁷²o ⁸¹m ⁴⁸⁶p ¹²³a ⁸⁹r ⁹³e ¹⁹⁵d ⁴⁷  ¹⁰⁹t ⁹¹o ¹⁰⁶  ³⁶⁶c ⁸⁴u ¹¹⁹r ⁵⁴i ¹⁵⁹n ⁸³g ⁸⁵  ¹²⁷³m ⁸²a ¹⁵³y ¹³⁰b ¹⁸³e ¹⁴⁵  ⁵⁴⁷m ¹⁶¹i ⁸¹l ¹⁵⁴l ⁹⁴i ¹⁰⁶o ⁹⁴n ⁸³s ⁵⁹  ⁸³o ⁸²f ¹²⁹  ⁹²p ¹⁰²e ¹⁰¹o ¹³³p ²⁰²l ¹²¹e ²⁸²⁰t ⁷¹h ⁹²e ¹¹⁰n ¹¹⁶  ²⁹⁵a ⁸⁹g ¹²⁵a ⁷⁹i ¹⁶⁴n ⁹⁰  ⁷⁸⁶I ²⁴⁸  ⁸²⁵' ¹⁹¹m ¹⁰⁵  ⁸⁴n ⁴⁷o ¹⁰²t ¹²⁰  ¹³⁹s ⁶u ⁴⁸⁸r ⁶²e ¹¹³  ⁵⁶⁶i ⁶³f ¹¹⁹  ¹⁰⁴w ¹⁸¹e ¹³¹  ¹⁶⁷n ⁷²e ¹²⁰e ¹⁵⁹d ⁶²  ¹¹⁴t ¹²⁰o ⁸²  ⁷²¹h ⁷⁴a ¹⁰⁴v ¹¹⁷e ⁹⁵  ⁶⁶t ⁸⁴h ⁹¹a ⁷⁰t ⁹⁵  ¹³⁷d ⁶¹i ¹¹⁶s ⁴⁸⁷c ¹¹⁰u ¹¹²s ¹⁴²s ⁶⁰i ⁷⁵o ¹⁰⁹n ¹⁰³  ³⁰⁷: ¹⁴⁰D¦ture*true! ▅▅▅one question you could ▅▅discuss is if it is mo▅re worth saving these three persons compared to curing ▅maybe millions of people▅▅then again I 'm not sure if we need to have that discussion :D¦
